subno,fnoa_order,format,counterbal,condition,trial_n,phase,include,cue_1,cue_2,cue_3,cue_4,prob_outcome_1,outcome,resp_given,resp_norm_corr,resp_time,resp_rewar
s1,2,weather,1,AnoF,1.0,Training,1,1.0,0.0,0.0,0.0,0.75,2.0,,1.0,,
s1,2,weather,1,AnoF,2.0,Training,1,0.0,0.0,1.0,1.0,0.0,2.0,,2.0,,
s1,2,weather,1,AnoF,3.0,Training,1,1.0,0.0,0.0,0.0,0.75,1.0,,1.0,,
s1,2,weather,1,AnoF,4.0,Training,1,0.0,0.0,1.0,0.0,0.25,1.0,,2.0,,
s1,2,weather,1,AnoF,5.0,Training,1,0.0,0.0,1.0,0.0,0.25,2.0,,2.0,,
s1,2,weather,1,AnoF,6.0,Training,1,0.0,0.0,1.0,0.0,0.25,1.0,,2.0,,
s1,2,weather,1,AnoF,7.0,Training,1,0.0,1.0,1.0,1.0,0.25,2.0,,2.0,,
s1,2,weather,1,AnoF,8.0,Training,1,0.0,0.0,0.0,1.0,0.25,2.0,,2.0,,
s1,2,weather,1,AnoF,9.0,Training,1,1.0,0.0,1.0,1.0,0.25,2.0,,2.0,,
s1,2,weather,1,AnoF,10.0,Training,1,0.0,0.0,1.0,0.0,0.25,2.0,,2.0,,
s1,2,weather,1,AnoF,11.0,Training,1,0.0,0.0,0.0,1.0,0.25,2.0,,2.0,,
s1,2,weather,1,AnoF,12.0,Training,1,1.0,1.0,0.0,1.0,0.75,1.0,,1.0,,
s1,2,weather,1,AnoF,13.0,Training,1,0.0,0.0,1.0,0.0,0.25,1.0,,2.0,,
s1,2,weather,1,AnoF,14.0,Training,1,1.0,0.0,0.0,1.0,0.5,2.0,,,,
s1,2,weather,1,AnoF,15.0,Training,1,1.0,0.0,0.0,0.0,0.75,1.0,,1.0,,
s1,2,weather,1,AnoF,16.0,Training,1,0.0,1.0,0.0,0.0,0.75,1.0,,1.0,,
s1,2,weather,1,AnoF,17.0,Training,1,0.0,0.0,0.0,1.0,0.25,2.0,,2.0,,
s1,2,weather,1,AnoF,18.0,Training,1,1.0,0.0,1.0,0.0,0.5,1.0,,,,
s1,2,weather,1,AnoF,19.0,Training,1,0.0,0.0,0.0,1.0,0.25,2.0,,2.0,,
s1,2,weather,1,AnoF,20.0,Training,1,0.0,1.0,0.0,0.0,0.75,2.0,,1.0,,
s1,2,weather,1,AnoF,21.0,Training,1,1.0,1.0,1.0,0.0,0.75,1.0,,1.0,,
s1,2,weather,1,AnoF,22.0,Training,1,1.0,0.0,1.0,1.0,0.25,1.0,,2.0,,
s1,2,weather,1,AnoF,23.0,Training,1,0.0,1.0,0.0,1.0,0.5,1.0,,,,
s1,2,weather,1,AnoF,24.0,Training,1,0.0,1.0,0.0,0.0,0.75,2.0,,1.0,,
s1,2,weather,1,AnoF,25.0,Training,1,1.0,0.0,0.0,0.0,0.75,1.0,,1.0,,
s1,2,weather,1,AnoF,26.0,Training,1,0.0,0.0,1.0,1.0,0.0,2.0,,2.0,,
s1,2,weather,1,AnoF,27.0,Training,1,0.0,0.0,0.0,1.0,0.25,1.0,,2.0,,
s1,2,weather,1,AnoF,28.0,Training,1,1.0,0.0,1.0,0.0,0.5,1.0,,,,
s1,2,weather,1,AnoF,29.0,Training,1,1.0,0.0,0.0,0.0,0.75,1.0,,1.0,,
s1,2,weather,1,AnoF,30.0,Training,1,0.0,1.0,0.0,0.0,0.75,1.0,,1.0,,
s1,2,weather,1,AnoF,31.0,Training,1,0.0,0.0,0.0,1.0,0.25,2.0,,2.0,,
s1,2,weather,1,AnoF,32.0,Training,1,1.0,1.0,0.0,0.0,1.0,1.0,,1.0,,
s1,2,weather,1,AnoF,33.0,Training,1,1.0,1.0,0.0,0.0,1.0,1.0,,1.0,,
s1,2,weather,1,AnoF,34.0,Training,1,1.0,0.0,1.0,0.0,0.5,2.0,,,,
s1,2,weather,1,AnoF,35.0,Training,1,0.0,0.0,1.0,1.0,0.0,2.0,,2.0,,
