subno,n_norm_corr,total_norm_corr,ratio_norm_corr,format,fnoa_order,age,ue,cd,ian,inc,epqe,epqp,bastot,nstot,harmtot
s1,4,9,0.4444444444444444,Disease,FnoA Second,25.0,6.0,16.0,13.0,14.0,6.0,7.0,35.0,26.0,27.0
s10,8,10,0.8,Weather,FnoA First,23.0,22.0,18.0,5.0,20.0,19.0,11.0,42.0,27.0,18.0
s11,6,10,0.6,Weather,FnoA Second,24.0,15.0,14.0,1.0,15.0,18.0,4.0,41.0,26.0,11.0
s12,4,10,0.4,Disease,FnoA First,24.0,8.0,14.0,16.0,9.0,8.0,1.0,32.0,11.0,15.0
s13,6,10,0.6,Disease,FnoA Second,21.0,12.0,8.0,6.0,14.0,14.0,8.0,49.0,20.0,5.0
s14,7,10,0.7,Disease,FnoA Second,22.0,7.0,6.0,1.0,7.0,18.0,2.0,37.0,20.0,13.0
s15,4,10,0.4,Weather,FnoA First,25.0,1.0,3.0,3.0,10.0,9.0,5.0,37.0,17.0,12.0
s16,3,10,0.3,Weather,FnoA Second,24.0,11.0,8.0,15.0,14.0,17.0,10.0,29.0,9.0,24.0
s17,6,10,0.6,Disease,FnoA First,25.0,1.0,6.0,5.0,8.0,11.0,4.0,37.0,16.0,11.0
s18,6,10,0.6,Weather,FnoA First,25.0,8.0,3.0,0.0,11.0,18.0,3.0,34.0,23.0,11.0
s19,7,10,0.7,Weather,FnoA Second,24.0,11.0,14.0,1.0,13.0,21.0,10.0,45.0,25.0,11.0
s2,6,10,0.6,Weather,FnoA First,23.0,8.0,19.0,7.0,13.0,7.0,5.0,36.0,20.0,22.0
s20,3,10,0.3,Disease,FnoA First,21.0,4.0,6.0,2.0,7.0,15.0,3.0,37.0,13.0,11.0
s21,7,10,0.7,Disease,FnoA Second,22.0,12.0,20.0,5.0,13.0,16.0,5.0,39.0,20.0,22.0
s22,5,10,0.5,Weather,FnoA First,29.0,2.0,13.0,7.0,7.0,14.0,9.0,38.0,18.0,3.0
s23,5,10,0.5,Weather,FnoA Second,25.0,6.0,0.0,3.0,8.0,17.0,7.0,39.0,14.0,3.0
s24,7,10,0.7,Disease,FnoA First,26.0,14.0,20.0,14.0,17.0,9.0,14.0,52.0,21.0,28.0
s25,7,10,0.7,Disease,FnoA Second,29.0,2.0,7.0,3.0,7.0,17.0,3.0,40.0,22.0,9.0
s26,2,10,0.2,Weather,FnoA First,23.0,7.0,5.0,6.0,11.0,14.0,7.0,37.0,25.0,3.0
s27,6,10,0.6,Weather,FnoA Second,26.0,7.0,4.0,1.0,14.0,20.0,4.0,43.0,23.0,3.0
s28,5,10,0.5,Disease,FnoA First,21.0,13.0,19.0,8.0,11.0,7.0,5.0,45.0,14.0,26.0
s29,7,10,0.7,Disease,FnoA Second,29.0,11.0,7.0,2.0,18.0,21.0,7.0,47.0,32.0,2.0
s3,10,10,1.0,Weather,FnoA Second,23.0,7.0,4.0,2.0,6.0,14.0,4.0,37.0,11.0,15.0
s30,3,10,0.3,Weather,FnoA First,27.0,5.0,6.0,7.0,3.0,9.0,1.0,36.0,16.0,10.0
s31,6,10,0.6,Weather,FnoA Second,23.0,6.0,10.0,7.0,9.0,11.0,3.0,49.0,16.0,8.0
s32,6,10,0.6,Disease,FnoA First,22.0,13.0,17.0,4.0,13.0,19.0,3.0,50.0,25.0,1.0
s33,5,10,0.5,Disease,FnoA Second,22.0,7.0,6.0,9.0,5.0,9.0,0.0,39.0,7.0,7.0
s34,6,10,0.6,Weather,FnoA First,22.0,15.0,23.0,6.0,14.0,13.0,4.0,42.0,21.0,22.0
s35,5,10,0.5,Weather,FnoA Second,21.0,25.0,17.0,4.0,11.0,18.0,4.0,36.0,24.0,13.0
s36,6,10,0.6,Disease,FnoA First,23.0,3.0,4.0,7.0,3.0,11.0,0.0,40.0,7.0,15.0
s37,7,10,0.7,Disease,FnoA Second,22.0,18.0,19.0,4.0,10.0,10.0,2.0,29.0,13.0,14.0
s38,8,10,0.8,Weather,FnoA First,21.0,6.0,8.0,7.0,4.0,17.0,1.0,30.0,19.0,9.0
s39,7,10,0.7,Weather,FnoA Second,21.0,1.0,9.0,4.0,4.0,13.0,1.0,26.0,11.0,14.0
s4,9,10,0.9,Disease,FnoA First,23.0,3.0,3.0,0.0,12.0,18.0,5.0,41.0,23.0,7.0
s40,9,10,0.9,Disease,FnoA First,22.0,15.0,18.0,6.0,16.0,15.0,4.0,31.0,18.0,25.0
s5,6,10,0.6,Disease,FnoA Second,24.0,0.0,7.0,6.0,9.0,12.0,4.0,34.0,15.0,9.0
s6,4,10,0.4,Weather,FnoA First,22.0,2.0,5.0,10.0,12.0,12.0,4.0,22.0,12.0,11.0
s7,5,10,0.5,Weather,FnoA Second,25.0,18.0,6.0,2.0,15.0,20.0,9.0,39.0,26.0,7.0
s8,5,10,0.5,Disease,FnoA First,22.0,6.0,7.0,0.0,8.0,19.0,7.0,35.0,16.0,5.0
s9,5,10,0.5,Disease,FnoA Second,27.0,1.0,1.0,2.0,9.0,18.0,3.0,34.0,22.0,8.0
