"Age"	"Gender"	"Occupation"	"Hzsex_see"	"Hzsex_imagine"	"Hzsex_partnersmell"	"Hzsex_othersmells"	"Hzsex_sexsounds"	"Hzsex_music"	"Hzsex_touch"	"musicdateprefers"	"Sexorientation"	"Sgenre1"	"Sgenre2"	"Sgenre3"	"Sgenre4"	"Stomp.distance"	"GMSI_Emotions"
57	"f"	"Housewife, Homemaker"	5	2	3	3	2	3	2	5	"Straight"	3.25	2.33333333333333	2.75	3.33333333333333	2.38339160767918	21
38	"m"	"Housewife, Homemaker"	7	7	7	7	3	7	7	6	"Straight"	1.75	5.66666666666667	2.5	2	5.30002620538595	26
41	"m"	"Other"	6	4	3	3	6	2	7	4	"Straight"	4.25	2.66666666666667	5.5	1	2.20006313040735	31
49	"f"	"Customer Services, Call Centres"	1	1	1	7	2	2	1	1	"Straight"	2	3.33333333333333	3.75	1	4.09352469693838	11
58	"f"	"Housewife, Homemaker"	3	2	4	6	3	1	1	4	"Straight"	4.5	3.66666666666667	3.25	1.33333333333333	3.15017636190597	15
27	"m"	"Transport, Logistics, Aerospace"	7	7	7	7	7	7	7	4	"Straight"	2.25	1	3.5	4.33333333333333	4.62856469233294	25
37	"m"	"Travel, Leisure, Tourism"	2	2	2	2	2	2	2	4	"Straight"	2	3	2.75	2	3.57945526581909	18
43	"m"	"Other"	6	5	3	3	5	3	6	6	"Straight"	4.75	5	5	3.33333333333333	1.76580167503476	29
41	"m"	"Science"	1	1	1	1	1	1	1	5	"Straight"	5.75	6	4.5	3.66666666666667	4.88549440236662	13
72	"m"	"Unemployed"	7	7	7	7	7	7	7	4	"Straight"	1	1	1.75	1	6.28545499104436	36
64	"f"	"Unemployed"	7	7	7	7	7	7	7	4	"Straight"	3	2.66666666666667	4.5	1.66666666666667	2.22361067735439	26
54	"f"	"Education"	4	4	6	7	7	4	4	4	"Straight"	3	5	4	2.66666666666667	2.60874597374975	23
58	"f"	"Education"	3	3	3	2	2	3	3	6	"Straight"	3.75	4.66666666666667	4.5	4.66666666666667	3.78685592250059	18
35	"f"	"Secretarial, PA, Administration"	1	3	2	4	2	2	1	4	"Straight"	1.75	3.66666666666667	4	4.33333333333333	3.96249780932291	13
51	"m"	"Other"	6	6	6	6	6	4	6	4	"Straight"	1	5.33333333333333	3	5	5.64456474062536	32
61	"f"	"Unemployed"	1	6	6	6	6	6	6	4	"Bisexual"	3	2.66666666666667	3.75	3.33333333333333	1.73405433722374	19
48	"m"	"Secretarial, PA, Administration"	5	6	4	3	6	4	7	4	"Straight"	2	5	4.25	4.66666666666667	2.34668797338812	25
54	"f"	"Housewife, Homemaker"	2	3	4	5	5	4	1	4	"Straight"	4	4.33333333333333	5	3	4.38748219369606	20
66	"f"	"Other"	7	7	7	7	7	7	1	4	"Straight"	4.5	5.33333333333333	3.75	2.66666666666667	4.65847495312456	23
31	"m"	"Legal"	5	5	5	5	5	5	5	4	"Straight"	5	5	5	5	1.30170827931778	24
58	"f"	"Secretarial, PA, Administration"	4	4	5	7	5	7	4	4	"Straight"	3.25	2	3.75	1.66666666666667	2.02415963358185	41
61	"m"	"Engineering, Manufacturing, Utilities"	1	2	2	2	2	3	1	5	"Straight"	4.25	5.33333333333333	4	2	2.95921348409412	20
53	"m"	"Unemployed"	2	2	3	2	3	3	3	4	"Transgender"	1.5	1	1.5	2	5.24404424085076	16
37	"m"	"Transport, Logistics, Aerospace"	1	1	2	4	1	6	2	6	"Straight"	2	4.33333333333333	3.5	2	3.56292638773866	22
53	"m"	"Other"	2	1	4	4	3	6	2	5	"Straight"	3.75	2.66666666666667	3	1.33333333333333	2.25616439511348	23
31	"f"	"Graduate, Trainees"	4	4	4	4	4	4	4	4	"Straight"	2	2.66666666666667	4.25	4.33333333333333	2.53448438762426	37
47	"f"	"Charities"	2	2	2	2	2	2	2	4	"Straight"	2	3.66666666666667	3	1.66666666666667	2.77888866675551	16
62	"m"	"Engineering, Manufacturing, Utilities"	3	2	2	6	2	5	3	6	"Straight"	5.5	6	3	1	4.5491146879854	17
42	"f"	"Housewife, Homemaker"	1	1	1	3	3	2	1	1	"Straight"	5	5.33333333333333	5.5	2.66666666666667	2.78886675511358	10
42	"f"	"Housewife, Homemaker"	3	3	3	4	3	3	2	4	"Straight"	3.25	3	4.25	4	2.75126233653653	22
56	"m"	"Unemployed"	7	7	4	4	4	4	7	4	"Straight"	4.5	4.66666666666667	5	4.33333333333333	2.83823106098774	33
53	"f"	"Accountancy"	3	1	1	7	3	3	2	4	"Straight"	2.5	3	3	2	4.69041575982343	26
55	"m"	"Other"	1	3	3	6	6	5	1	4	"Straight"	2.25	4.33333333333333	2.5	2	4.36606229914325	35
48	"f"	"Housewife, Homemaker"	6	3	5	5	1	6	1	4	"Straight"	3	1.66666666666667	4.25	1.33333333333333	2.40514494827697	14
48	"f"	"Customer Services, Call Centres"	5	6	4	4	4	4	4	4	"Straight"	3.75	1	2.75	3	2.92736134504171	25
28	"f"	"Legal"	2	2	7	7	2	7	2	4	"Straight"	1	2.33333333333333	3.75	2.33333333333333	4.96165854886806	41
47	"m"	"Computers, Software"	5	6	7	4	5	5	5	4	"Straight"	4.5	4.66666666666667	4.75	5	2.5617376914899	29
70	"f"	"Retail, Wholesale"	2	3	4	7	4	4	1	2	"Straight"	4.5	2.66666666666667	4.75	2	1.03077640640442	12
53	"f"	"Secretarial, PA, Administration"	5	5	3	3	4	2	6	3	"Straight"	2.25	3.66666666666667	3.5	1.66666666666667	2.50693482608189	31
54	"f"	"Unemployed"	4	5	4	2	3	3	5	2	"Straight"	3.75	2	3	1	3.21130814466628	33
49	"f"	"Health, Nursing, Social Services"	1	1	4	4	4	6	6	4	"Straight"	1.75	2	2.5	1.33333333333333	4.29227341989197	36
42	"m"	"Banking, Insurance, Finance"	5	7	5	3	5	3	6	6	"Straight"	2.5	2.66666666666667	3.25	3.33333333333333	3.65243450013519	25
33	"f"	"Secretarial, PA, Administration"	5	5	2	5	5	3	5	2	"Straight"	3	4.33333333333333	2.5	5.33333333333333	4.42216638714053	27
44	"m"	"Banking, Insurance, Finance"	7	7	6	6	7	6	7	5	"Straight"	2.25	4.66666666666667	2.25	2.33333333333333	4.64429159769759	38
49	"f"	"Education"	7	7	7	7	7	7	7	4	"Straight"	3.5	1.33333333333333	1.75	1	4.96725388027541	24
29	"m"	"Computers, Software"	7	7	7	4	5	4	6	4	"Straight"	4.5	4.66666666666667	2.75	4.33333333333333	2.6047499346813	37
23	"f"	"Student"	6	7	4	2	1	2	6	4	"Straight"	5.25	5	4	3.66666666666667	3.18088911399872	35
30	"m"	"Legal"	5	5	6	6	5	5	5	4	"Straight"	3.75	3.66666666666667	3.25	3	1.31761569173682	28
60	"m"	"Engineering, Manufacturing, Utilities"	1	1	4	4	3	3	1	6	"Straight"	3.75	4.66666666666667	4	3.33333333333333	4.78205557846786	32
36	"m"	"Catering & Hospitality"	5	5	7	3	5	1	6	5	"Straight"	2.75	1.66666666666667	3.5	3.66666666666667	2.55631027502966	36
46	"f"	"Secretarial, PA, Administration"	3	4	4	2	1	3	4	4	"Straight"	4	4.33333333333333	3	2	3.23178657161088	35
23	"f"	"Retail, Wholesale"	1	2	1	3	1	2	1	4	"Straight"	2.25	2.66666666666667	3.75	4	3.79143772202578	17
52	"f"	"Banking, Insurance, Finance"	2	2	4	4	5	2	2	4	"Straight"	4.25	4	4	3	1.82764268328845	12
62	"m"	"Education"	1	1	4	4	2	5	1	5	"Gay"	2.25	1.33333333333333	1.25	1.33333333333333	4.69189608675308	26
60	"m"	"Telecommunications"	4	3	3	4	4	4	4	4	"Straight"	3.5	3.66666666666667	3.75	4	1.32549781004891	22
62	"m"	"Other"	4	4	4	4	4	2	4	5	"I'd rather not say"	4.25	1.66666666666667	1.75	1	3.0934518655451	22
50	"m"	"Banking, Insurance, Finance"	7	7	6	4	5	5	7	4	"Straight"	2.25	4	3	6	3.70903551404465	24
